# Show feedback bank — format: slug | researched date | remark

sebil.salteneh | 2026-09-07 | نمایش «سبیل‌السلطنه» با امتیاز ۴.۴ از ۵ (۱۰۲ رای) در تیوال، یک کمدی خانوادگی و مفرح ارزیابی شده که داستان جذاب، بازی‌های عالی و فکرشده و جزئیات طراحی دقیق از جمله موسیقی زیبا و نورپردازی خلاقانه دارد. تماشاگران از شخصیت‌پردازی خوب و شوخی‌هایی که به کاراکترها مرتبط است، نه شوخی‌های زننده، رضایت داشته‌اند. اما برخی از افت ریتم در نیمه‌های نمایش و ضعف صدایی یکی دو بازیگر ایراد گرفته‌اند. این نمایش به طور کلی تجربه‌ای کامل و باکیفیت ارائه می‌دهد که با وجود نقدهای جزئی، توانسته حال و هوای مخاطبان را عوض کند.
suicidestore14 | 2026-09-07 | نمایش «مغازه خودکشی» (دور دوم) با امتیاز ۴.۳ از ۵ (۲۷۹ رای) در تیوال، اجرایی بسیار قوی و حرفه‌ای است که بازی‌های فوق‌العاده، انرژی بالا و هماهنگ گروه، طراحی صحنه، دکور، گریم، نورپردازی و موسیقی خوب از نقاط قوت آن محسوب می‌شود. تماشاگران از ارتباط جذاب بازیگران با مخاطبان پیش از شروع اجرا و حفظ ریتم کار علی‌رغم تغییر برخی بازیگران در دور دوم، استقبال کرده‌اند. با این حال، برخی انتظار طنز تأثیرگذارتری را داشتند و به نامناسب بودن برخی دیالوگ‌ها و عدم رعایت رده سنی در دو قسمت از نمایش اشاره کرده‌اند. در مجموع، نمایش با وفاداری به داستان اصلی کتاب و ایجاد فضایی فانتزی و موزیکال، تجربه‌ای ماندگار و قابل تکرار را برای مخاطب فراهم می‌کند.
tabut.ahd2 | 2026-07-24 | «تابوت عهد» با امتیاز تیوال ۳.۸ از ۵، روایتی از روابط انسانی در بستر اضطراب جمعی را به تصویر می‌کشد که با بازی‌های حرفه‌ای و دلچسب بازیگران، به ویژه در انتقال حس سنگینی و فرسودگی یک رابطه، مورد ستایش قرار گرفته است. طراحی صحنه مینیمال و استعاری، با تبدیل تخت به تابوت، از نقاط قوت نمایش به شمار می‌رود. با این حال، منتقدان به ضعف متن از نظر جذابیت و پیچیدگی اشاره کرده‌اند و برخی آن را بیشتر مناسب نمایشنامه‌خوانی دانسته‌اند تا اجرای صحنه‌ای که در آن نیاز به اکت بازیگر حداقل است.
toooroop.torob2 | 2026-09-12 | نمایش «طوروپِ طرب» با کسب امتیاز ۴.۲ از ۵ از ۳۳۹ رای در تیوال، یک کمدی-موزیکال است که نقاط قوت بارزی در اجرای موسیقی زنده و بازی‌های یکدست و پرانرژی بازیگران دارد. کارگردانی هوشمندانه و استفاده مناسب از عناصر طنز بدون افتادن به ورطه لودگی، از دیگر جنبه‌های مثبت ذکر شده است. با این حال، برخی تماشاگران و منتقدان به گسست‌هایی در روایت اصلی داستان اشاره کرده‌اند که به انسجام آن لطمه می‌زند. همچنین، نقدهایی وجود دارد که معتقدند تمرکز بر سرگرمی، گاهی از عمق پیام و ساختار خلاقانه اثر کاسته و آن را به اثری معمولی تبدیل کرده است. جمع‌بندی نظرات حاکی از رضایت عمومی برای یک شب شاد و مفرح است، اما از نظر تأثیرگذاری عمیق، بازخوردها متوسط و دوپهلو به نظر می‌رسد.
uncle.vanya | 2026-07-25 | نمایش «بر اساسِ دایی وانیا» با امتیاز 3.9 از 5 (از 129 رای) در تیوال، اجرایی دوپهلو ارائه می‌دهد که برخی تماشاگران آن را ستایش و عده‌ای دیگر آن را خسته‌کننده یافته‌اند. نقاط قوت اصلی شامل بازی‌های درخشان و کاریزماتیک حسن معجونی و هوتن شکیبا است که بسیاری آن‌ها را حرفه‌ای و درجه یک توصیف کرده‌اند. همچنین، طراحی صحنه گرم و جذاب، نورپردازی و صدا نیز بازخوردهای مثبتی دریافت کرده‌اند. با این حال، شماری از مخاطبان از ریتم کند، فضای سردرگم‌کننده و ملال‌آور نمایش گلایه کرده‌اند که حتی منجر به حس خواب‌آلودگی شده است. برخی منتقدان نیز معتقدند کارگردان در هدایت بازیگران برای خلق درونیات نقش ناموفق بوده و به جای تجسم شخصیت، بازیگران خود را به رخ کشیده‌اند. در مجموع، این نمایش با وجود بهره‌مندی از بازی‌های قوی، در جلب رضایت تمامی مخاطبان و حفظ جذابیت در طول اجرا با چالش روبروست.
viran.tan | 2026-07-24 | نمایش «ویران تَن» با امتیاز تیوال ۴.۲ از ۵، به دلیل اجرای حرفه‌ای، مونولوگ زیبا و صداپیشگی استادانه، همراهی مخاطب با داستان دراماتیک و طنز زیرکانه در لایه‌های دیالوگ مورد توجه قرار گرفته است. بازی‌ها بزرگ‌ترین امتیاز اثر محسوب می‌شوند و متن، ستون اصلی نمایش، با موفقیت مخاطب را در مسیر عاطفی خود همراه می‌کند. اما ریتم اجرا گاهی به دلیل مکث‌های ناکافی و ورود و خروج ناگهانی موسیقی، از انسجام افتاده و پرده پایانی نیز در منطق روایی اثر ضعیف ارزیابی شده است؛ با این وجود، نمایش به دلیل عمق و پرداختن به مفاهیم فقدان و عشق، قابل احترام است.
viscount2 | 2026-08-30 | نمایش «ویکنت شقه‌شده» با امتیاز ۴.۴ از ۵ در تیوال، اقتباسی هوشمندانه از رمان ایتالو کالوینو است که بسیاری از تماشاگران و منتقدان را جذب کرده است. کارگردانی شهروز دل‌افکار به دلیل ریتم پرانرژی، تنوع صحنه‌ها و هدایت یکدست گروه پرتعداد بازیگران، حتی با وجود چهره‌های کمتر شناخته‌شده، مورد تحسین قرار گرفته است. طراحی صحنه خلاقانه و استفاده مؤثر از نور و موسیقی نیز به خلق اتمسفر عمیق و فلسفی اثر کمک شایانی می‌کند. با این حال، برخی تماشاگران از عدم یکدستی در بازی‌ها و ضعف فن بیان تعدادی از بازیگران گلایه کرده‌اند. همچنین، حضور دلقک‌های راوی با سبک رپ، با وجود اجرای مسلط، گاهی با فضای جدی و فلسفی اثر ناهمگون تشخیص داده شده است.
waiting.for.godot17 | 2026-08-10 | نمایش "در انتظار گودو" با امتیاز ۴ از ۵ در تیوال، اجرایی قابل قبول و تحسین‌برانگیز از متن دشوار بکت ارائه می‌دهد. نقطه قوت اصلی نمایش، بازی‌های هماهنگ و قدرتمند بازیگران است که با تسلط بر ریتم و مکث‌ها، دیالوگ‌ها و سکوت‌ها را طبیعی و باورپذیر جلوه می‌دهند. کارگردانی امیرحسین جوانی نیز با میزانسن‌های دقیق و طراحی صحنه ساده اما کاربردی، به فضاسازی و انتقال مفاهیم پوچی و انتظار کمک شایانی کرده است. با این حال، برخی تماشاگران به دلیل ماهیت انتزاعی و تکرارشونده اثر، از خستگی و عدم درک کامل مفهوم نمایش گله‌مند بودند که می‌تواند نقطه ضعف آن تلقی شود. در مجموع، این اجرا به دلیل ارتباط عمیق با شرایط اجتماعی امروز و وفاداری به متن اصلی، توانسته مخاطب را به تفکر و همراهی وادارد.
yaad | 2026-09-10 | نمایش «منو یادت میاد؟» با کسب امتیاز 4.2 از 5 در تیوال (بر اساس 137 رای)، بازخوردهای عمدتاً مثبتی دریافت کرده است. مهم‌ترین نقطه قوت این مونولوگ، بازی قدرتمند و پرانرژی مرتضی درویش‌زاده است که با تسلط بر فن بیان و حفظ ریتم، ستون فقرات اجرا را تشکیل می‌دهد. متن نمایشنامه نیز با ایده‌ای جذاب و شخصیت‌پردازی‌های قابل قبول، توانسته توجه بسیاری را جلب کند. با این حال، برخی منتقدان از کندی سیر داستان در بخش‌هایی از نمایش و گهگاه بی‌ربط بودن روایات نقالی‌گونه انتقاد کرده‌اند که تا بخش پایانی کشش کافی ندارد. علاوه بر این، طراحی صحنه و انتخاب وسایلی مانند صندلی چرخدار نو، به دلیل عدم همخوانی با وضعیت فرسوده شخصیت، ضعف قابل توجهی محسوب می‌شود که به اعتبار اثر خدشه وارد کرده است. در مجموع، با وجود بازی‌های درخشان و ایده اولیه خوب، نمایش در انسجام روایی و هماهنگی بصری دچار چالش‌هایی است.
yakhbastegi3 | 2026-07-24 | «یخ بستگی؛ درخت‌های خیابون ولیعصر» با امتیاز تیوال ۴.۰ از ۵، به واسطه بازی‌های قدرتمند و تاثیرگذار، به ویژه از سارا بهرامی و مجتبی پیرزاده، و طراحی صحنه مینیمال و هوشمندانه که فضاسازی ذهنی را به خوبی انجام می‌دهد، تحسین شده است. همچنین انتخاب موسیقی و پایان‌بندی که باعث بازنگری در گذشته می‌شود، از نقاط قوت محسوب می‌گردد. در مقابل، داستان در بخش‌هایی گنگ و گیج‌کننده توصیف شده و برخی بازی سارا بهرامی را دارای نقص و صدا را کم‌انرژی دانسته‌اند.
zanbour.kargar5 | 2026-07-24 | نمایش «زنبورهای کارگر» با امتیاز تیوال ۳.۸ از ۵، به دلیل خلاقیت و سادگی در اجرا، استفاده به جا از آکسسوار صحنه و نورپردازی، و دیالوگ‌های پرتحرک مورد توجه قرار گرفته است. تماشاگران از تعامل با مخاطب و ارتباط عمیق با دغدغه‌های نویسنده و رنج‌های زندگی معاصر ابراز رضایت کرده‌اند. برخی بازخوردها به اجرای نمایش در سالن نامناسبی اشاره کرده‌اند که به دلیل باریک بودن، تمرکز مخاطب را مختل می‌کند، اما این موضوع از ارزش کلی کار نکاسته است. طراحی صحنه بدون عنصر اضافه و استفاده هوشمندانه از ویدیو آرت و انیمیشن، به حفظ ریتم و درگیری مخاطب کمک کرده است.
zar2 | 2026-07-24 | نمایش «زار» با امتیاز 3.9 از 5 در تیوال (از 106 رای)، اثری است که تماشاگران و منتقدان را عمدتاً با نقاط قوت فنی و هنری خود جذب کرده است. میزانسن‌های دقیق و طراحی هماهنگ حرکت بازیگران، در کنار طراحی نور و صدای متناسب، فضایی آیینی و منفرد خلق کرده است. موسیقی نمایش از برجسته‌ترین ویژگی‌ها محسوب می‌شود که نه فقط پس‌زمینه، بلکه خود به عنصری پیش‌برنده و تعلیق‌آفرین تبدیل شده است. بازی‌ها، به‌ویژه بازیگر خردسال و همچنین نقش‌های مریم و جلال، با ظرافت و حس‌برانگیزی بالا مورد تحسین قرار گرفته‌اند. در مجموع، بازخوردهای موجود به شدت مثبت بوده و ضعف مشخص یا انتقاد منفی گسترده‌ای درباره جنبه‌های اجرایی آن گزارش نشده است.
zighemakan3 | 2026-07-24 | امتیاز تیوال: 4.2 از 5 (65 رای)
